,file_name,Type,SkewnessBlue,KurtosisBlue,MeanPixelBlue,SkewnessGreen,KurtosisGreen,MeanPixelGreen,SkewnessRed,KurtosisRed,MeanPixelRed,CombinedType,camera,focal,lens,zoom_raw,total_zoom,exposure_time_raw,exposure_time_sec,pixel_width,pixel_height,number_of_megapixels,Width_to_Height_Ratio,Landscape_or_Portrait,focal_comb,lens_comb,zoom_comb,et_comb,megapx_comb,ratio_comb,pixel_size
0,190306_o_BP-662-006_0.JPG,WSIF,1.5166334345065435,3.983427569895084,61.97657729574985,1.3858247798702346,3.225453881525141,57.55848996355389,1.3271949359996782,2.8495637298429086,52.84986413604565,CW,iPhone 6,4.15,2.28,HAS EXIF BUT NO ZOOM INFO,,HAS EXIF BUT NO EXPOSURE TIME INFO,,3264,2448,7.990272,1.3333333333333333,Landscape,4.15 mm,2.28,N/A,N/A,Larger than 2 and less than 12 megapixels,Others,"(3264, 2448)"
1,190306_o_BP-662-006_0.JPG,HEM,1.0795597878410603,2.070548438795483,64.9457142922956,1.0359767658413408,1.9023403900418592,59.59752145119492,1.0262909977771204,1.8839511955314645,55.85519765773113,ORE,iPhone 6,4.15,2.28,HAS EXIF BUT NO ZOOM INFO,,HAS EXIF BUT NO EXPOSURE TIME INFO,,3264,2448,7.990272,1.3333333333333333,Landscape,4.15 mm,2.28,N/A,N/A,Larger than 2 and less than 12 megapixels,Others,"(3264, 2448)"
2,190306_o_BP-662-006_0.JPG,SIF,1.0504468385910724,2.1678170685447675,64.44976248567964,1.0129973388733875,2.0013656285839625,59.22278625423623,1.0043739807937755,1.9812030866827504,55.51780826514422,ORE,iPhone 6,4.15,2.28,HAS EXIF BUT NO ZOOM INFO,,HAS EXIF BUT NO EXPOSURE TIME INFO,,3264,2448,7.990272,1.3333333333333333,Landscape,4.15 mm,2.28,N/A,N/A,Larger than 2 and less than 12 megapixels,Others,"(3264, 2448)"
3,190306_o_BP-662-006_1.JPG,HEM,1.62474352767453,3.5630351771466278,45.4713785055739,1.5323130733610193,2.8906745880803104,45.588205278971536,1.4661074226316129,2.450690453918132,44.752488323103684,ORE,iPhone 6,4.15,2.28,"(1224, 587)",2.0851788756388414,"(1, 4950)",0.202020202020202,3264,2448,7.990272,1.3333333333333333,Landscape,4.15 mm,2.28,Zoom in,1 ms or less,Larger than 2 and less than 12 megapixels,Others,"(3264, 2448)"
4,190306_o_BP-662-006_1.JPG,WSIF,1.11740489000956,1.6931256288308891,60.368273405414456,1.068050432247218,1.5204380721133917,66.57984643402241,1.0209975877868809,1.4365121627361566,67.67782816876868,CW,iPhone 6,4.15,2.28,"(1224, 587)",2.0851788756388414,"(1, 4950)",0.202020202020202,3264,2448,7.990272,1.3333333333333333,Landscape,4.15 mm,2.28,Zoom in,1 ms or less,Larger than 2 and less than 12 megapixels,Others,"(3264, 2448)"
5,190306_o_BP-676-048_0.JPG,HEM,-0.03503574993052213,0.4512267009901345,44.604783059450476,-0.18695268911369775,0.5448384623514846,42.51568473840005,-0.26580699665197866,0.5928500109378549,43.76694547518635,ORE,iPhone 6,4.15,2.28,HAS EXIF BUT NO ZOOM INFO,,HAS EXIF BUT NO EXPOSURE TIME INFO,,4284,3224,13.811616,1.3287841191066998,Landscape,4.15 mm,2.28,N/A,N/A,Larger than 12 megapixels,Others,"(4284, 3224)"
6,190306_o_BP-676-048_0.JPG,QR,1.61562403931468,3.3450434178085913,55.32908630773698,1.4401355079918683,2.8249446417884103,55.1220022717778,1.2135855190484788,2.221537644411228,56.178335180761536,DW,iPhone 6,4.15,2.28,HAS EXIF BUT NO ZOOM INFO,,HAS EXIF BUT NO EXPOSURE TIME INFO,,4284,3224,13.811616,1.3287841191066998,Landscape,4.15 mm,2.28,N/A,N/A,Larger than 12 megapixels,Others,"(4284, 3224)"
7,190308_o_BW-718-092_0.JPG,QR,-0.02694624058389009,-0.30635444503498244,67.29761338897815,-0.16916069694294994,-0.3011580909320486,64.68492630865124,-0.36018657536292914,-0.3046300535591788,67.99282020324932,DW,iPhone 6,4.15,2.28,"(408, 227)",1.7973568281938326,"(1, 1068)",0.9363295880149812,3264,2448,7.990272,1.3333333333333333,Landscape,4.15 mm,2.28,Zoom in,1 ms or less,Larger than 2 and less than 12 megapixels,Others,"(3264, 2448)"
8,190308_o_BW-718-092_0.JPG,HEM,1.1384234702126872,13.428818457341384,60.1078097096725,1.4389640518802524,20.14751296677045,52.802720948286435,0.7670083470535765,11.195919035180404,54.10179676606456,ORE,iPhone 6,4.15,2.28,"(408, 227)",1.7973568281938326,"(1, 1068)",0.9363295880149812,3264,2448,7.990272,1.3333333333333333,Landscape,4.15 mm,2.28,Zoom in,1 ms or less,Larger than 2 and less than 12 megapixels,Others,"(3264, 2448)"
9,190310_o_BP-662-005_0.JPG,IFG,0.13987338434933794,-0.0912353638460952,84.18738539569351,-0.020633471683295858,-0.00689656396567795,105.82366982885445,-0.23793188169105145,0.03673204295888777,121.80344100896912,ORE,iPhone 6,4.15,2.28,HAS EXIF BUT NO ZOOM INFO,,HAS EXIF BUT NO EXPOSURE TIME INFO,,4188,3218,13.476984,1.3014294592914857,Landscape,4.15 mm,2.28,N/A,N/A,Larger than 12 megapixels,Others,"(4188, 3218)"
